ad_id,region,percentage
1119102628501562,Overijssel,0.079698
1119102628501562,Flevoland,0.022617
149689736998534,Drenthe,0.023696
149689736998534,Friesland,0.030156
149689736998534,Gelderland,0.108188
149689736998534,Groningen,0.031071
149689736998534,Limburg,0.060519
149689736998534,North Brabant,0.15907
149689736998534,Noord-Holland,0.175409
149689736998534,Utrecht,0.066771
149689736998534,Zeeland,0.020329
149689736998534,Zuid-Holland,0.235548
149689736998534,Overijssel,0.064371
149689736998534,Flevoland,0.024871
280284460234974,Drenthe,0.033768
280284460234974,Friesland,0.042654
280284460234974,Gelderland,0.130924
280284460234974,Groningen,0.036137
280284460234974,Limburg,0.052133
280284460234974,North Brabant,0.131517
280284460234974,Noord-Holland,0.17654
280284460234974,Utrecht,0.077607
280284460234974,Zeeland,0.026066
280284460234974,Zuid-Holland,0.203791
280284460234974,Overijssel,0.062204
280284460234974,Flevoland,0.026659
478494690167483,Drenthe,0.033102
478494690167483,Friesland,0.060046
478494690167483,Gelderland,0.120092
478494690167483,Groningen,0.051578
478494690167483,Limburg,0.04311
478494690167483,North Brabant,0.112394
478494690167483,Noord-Holland,0.17321
478494690167483,Utrecht,0.059276
478494690167483,Zeeland,0.036182
478494690167483,Zuid-Holland,0.211701
478494690167483,Overijssel,0.073903
478494690167483,Flevoland,0.025404
483229202814224,Drenthe,0.038563
483229202814224,Friesland,0.062226
483229202814224,Gelderland,0.121385
483229202814224,Groningen,0.050394
483229202814224,Limburg,0.074496
483229202814224,North Brabant,0.089833
483229202814224,Noord-Holland,0.192813
483229202814224,Utrecht,0.065294
483229202814224,Zeeland,0.027607
483229202814224,Zuid-Holland,0.190184
483229202814224,Overijssel,0.064417
483229202814224,Flevoland,0.022787
483771629518322,Drenthe,0.024978
483771629518322,Friesland,0.042945
483771629518322,Gelderland,0.11525
483771629518322,Groningen,0.036372
483771629518322,Limburg,0.051709
483771629518322,North Brabant,0.138913
483771629518322,Noord-Holland,0.178791
483771629518322,Utrecht,0.086328
483771629518322,Zeeland,0.024102
483771629518322,Zuid-Holland,0.216915
483771629518322,Overijssel,0.06135
483771629518322,Flevoland,0.022349
786819222260001,Drenthe,0.029246
786819222260001,Gelderland,0.131078
786819222260001,Groningen,0.034884
786819222260001,Limburg,0.054264
786819222260001,North Brabant,0.131431
786819222260001,Noord-Holland,0.15821
786819222260001,Friesland,0.046864
786819222260001,Utrecht,0.076815
786819222260001,Zeeland,0.030303
786819222260001,Zuid-Holland,0.206836
786819222260001,Overijssel,0.076462
786819222260001,Flevoland,0.023608
1039332780172267,Drenthe,0.032329
1039332780172267,Friesland,0.050705
1039332780172267,Gelderland,0.135673
1039332780172267,Groningen,0.049599
1039332780172267,Limburg,0.062725
1039332780172267,North Brabant,0.107903
1039332780172267,Noord-Holland,0.160542
1039332780172267,Utrecht,0.086212
1039332780172267,Zeeland,0.024454
1039332780172267,Zuid-Holland,0.202542
1039332780172267,Overijssel,0.068251
1039332780172267,Flevoland,0.019066
1658759197648227,Drenthe,0.047431
1658759197648227,Friesland,0.066064
1658759197648227,Gelderland,0.111801
1658759197648227,Groningen,0.05703
1658759197648227,Limburg,0.084698
1658759197648227,North Brabant,0.113495
1658759197648227,Noord-Holland,0.15415
1658759197648227,Utrecht,0.056465
1658759197648227,Zeeland,0.026539
1658759197648227,Zuid-Holland,0.1869
1658759197648227,Overijssel,0.070582
1658759197648227,Flevoland,0.024845
1677206362489154,Drenthe,0.031713
1677206362489154,Friesland,0.051483
1677206362489154,Gelderland,0.131796
1677206362489154,Groningen,0.055189
1677206362489154,Limburg,0.067133
1677206362489154,North Brabant,0.099259
1677206362489154,Noord-Holland,0.170099
1677206362489154,Utrecht,0.081137
1677206362489154,Zeeland,0.035832
1677206362489154,Zuid-Holland,0.199341
1677206362489154,Overijssel,0.053542
1677206362489154,Flevoland,0.023476
866323677281443,Zuid-Holland,1
866323677281443,Zeeland,0
866323677281443,Limburg,0
866323677281443,Noord-Holland,0
866323677281443,Groningen,0
866323677281443,Gelderland,0
866323677281443,Flevoland,0
866323677281443,Utrecht,0
866323677281443,Friesland,0
866323677281443,North Brabant,0
866323677281443,Overijssel,0
204592748103541,Noord-Holland,1
204592748103541,Zeeland,0
204592748103541,Limburg,0
204592748103541,Groningen,0
204592748103541,Gelderland,0
204592748103541,Flevoland,0
204592748103541,Zuid-Holland,0
204592748103541,Utrecht,0
204592748103541,Friesland,0
204592748103541,North Brabant,0
204592748103541,Overijssel,0
2545576809080575,Noord-Holland,1
2545576809080575,Zeeland,0
2545576809080575,Limburg,0
2545576809080575,Groningen,0
2545576809080575,Gelderland,0
2545576809080575,Flevoland,0
2545576809080575,Zuid-Holland,0
2545576809080575,Utrecht,0
2545576809080575,Friesland,0
2545576809080575,North Brabant,0
2545576809080575,Overijssel,0
253879796400737,Drenthe,0.013043
253879796400737,Friesland,0.013043
253879796400737,Gelderland,0.1
253879796400737,Groningen,0.03913
253879796400737,Limburg,0.056522
253879796400737,Utrecht,0.086957
253879796400737,Zeeland,0.008696
253879796400737,Overijssel,0.043478
253879796400737,North Brabant,0.073913
253879796400737,Noord-Holland,0.23913
253879796400737,Zuid-Holland,0.3
253879796400737,Flevoland,0.026087
202039105013369,Groningen,1
202039105013369,Zeeland,0
202039105013369,Limburg,0
202039105013369,Noord-Holland,0
202039105013369,Gelderland,0
202039105013369,Flevoland,0
202039105013369,Zuid-Holland,0
202039105013369,Utrecht,0
202039105013369,Friesland,0
202039105013369,North Brabant,0
202039105013369,Overijssel,0
705078406829627,Zeeland,0.001163
705078406829627,Drenthe,0.12093
705078406829627,Friesland,0.023256
705078406829627,Gelderland,0.131395
705078406829627,Groningen,0.034884
705078406829627,Limburg,0.006977
705078406829627,North Brabant,0.011628
705078406829627,Noord-Holland,0.033721
705078406829627,Utrecht,0.034884
