ad_id,region,percentage
865448334321407,Noord-Holland,0.150198
865448334321407,Utrecht,0.098814
865448334321407,Zeeland,0.031621
865448334321407,Zuid-Holland,0.256917
865448334321407,Overijssel,0.059289
865448334321407,Flevoland,0.023715
865448334321407,Drenthe,0.019763
1551288078544497,Drenthe,0.013072
1551288078544497,Friesland,0.027778
1551288078544497,Gelderland,0.078431
1551288078544497,Groningen,0.031046
1551288078544497,Limburg,0.050654
1551288078544497,North Brabant,0.140523
1551288078544497,Noord-Holland,0.204248
1551288078544497,Utrecht,0.065359
1551288078544497,Zeeland,0.017974
1551288078544497,Zuid-Holland,0.300654
1551288078544497,Overijssel,0.04902
1551288078544497,Flevoland,0.021242
155798866535308,Drenthe,0.023542
155798866535308,Friesland,0.026704
155798866535308,Gelderland,0.083978
155798866535308,Groningen,0.029515
155798866535308,Limburg,0.058327
155798866535308,North Brabant,0.121926
155798866535308,Noord-Holland,0.193956
155798866535308,Utrecht,0.052706
155798866535308,Zeeland,0.024245
155798866535308,Zuid-Holland,0.301476
155798866535308,Overijssel,0.045327
155798866535308,Flevoland,0.038299
176408211157606,Drenthe,0.029636
176408211157606,Friesland,0.032051
176408211157606,Gelderland,0.090622
176408211157606,Groningen,0.034642
176408211157606,Limburg,0.073323
176408211157606,North Brabant,0.137294
176408211157606,Noord-Holland,0.176106
176408211157606,Utrecht,0.05778
176408211157606,Zeeland,0.020899
176408211157606,Zuid-Holland,0.253073
176408211157606,Overijssel,0.060502
176408211157606,Flevoland,0.034071
577957413189640,Drenthe,0.019534
577957413189640,Friesland,0.024523
577957413189640,Gelderland,0.080293
577957413189640,Groningen,0.024877
577957413189640,Limburg,0.062706
577957413189640,North Brabant,0.114654
577957413189640,Noord-Holland,0.197813
577957413189640,Utrecht,0.048976
577957413189640,Zeeland,0.020489
577957413189640,Zuid-Holland,0.322835
577957413189640,Overijssel,0.045295
577957413189640,Flevoland,0.038006
150127323825748,Drenthe,0.032907
150127323825748,Friesland,0.04351
150127323825748,Gelderland,0.104205
150127323825748,Groningen,0.038757
150127323825748,Limburg,0.070567
150127323825748,North Brabant,0.129799
150127323825748,Noord-Holland,0.161974
150127323825748,Utrecht,0.073492
150127323825748,Zeeland,0.022303
150127323825748,Zuid-Holland,0.230713
150127323825748,Overijssel,0.064717
150127323825748,Flevoland,0.027057
1395145590860652,Flevoland,0.046792
1395145590860652,Drenthe,0.032803
1395145590860652,Friesland,0.028461
1395145590860652,Gelderland,0.085866
1395145590860652,Groningen,0.038591
1395145590860652,Limburg,0.058852
1395145590860652,North Brabant,0.094067
1395145590860652,Noord-Holland,0.198263
1395145590860652,Utrecht,0.069465
1395145590860652,Zeeland,0.026049
1395145590860652,Zuid-Holland,0.264351
1395145590860652,Overijssel,0.05644
152342066823844,Drenthe,0.036923
152342066823844,Friesland,0.049231
152342066823844,Gelderland,0.101538
152342066823844,North Brabant,0.116923
152342066823844,Noord-Holland,0.175385
152342066823844,Utrecht,0.061538
152342066823844,Zuid-Holland,0.218462
152342066823844,Flevoland,0.049231
152342066823844,Groningen,0.061538
152342066823844,Limburg,0.049231
152342066823844,Zeeland,0.018462
152342066823844,Overijssel,0.061538
311780693761841,Drenthe,0.020064
311780693761841,Friesland,0.022439
311780693761841,Gelderland,0.082037
311780693761841,Groningen,0.023388
311780693761841,Limburg,0.05948
311780693761841,North Brabant,0.11896
311780693761841,Noord-Holland,0.207171
311780693761841,Utrecht,0.044877
311780693761841,Zeeland,0.021726
311780693761841,Zuid-Holland,0.326606
311780693761841,Overijssel,0.042384
311780693761841,Flevoland,0.030868
313426500375265,Drenthe,0.020902
313426500375265,Friesland,0.026945
313426500375265,Gelderland,0.087384
313426500375265,Groningen,0.026945
313426500375265,Limburg,0.068748
313426500375265,North Brabant,0.119617
313426500375265,Noord-Holland,0.20272
313426500375265,Utrecht,0.050113
313426500375265,Zeeland,0.02065
313426500375265,Zuid-Holland,0.31176
313426500375265,Overijssel,0.039285
313426500375265,Flevoland,0.024931
838078326796340,Zeeland,0.031928
838078326796340,Drenthe,0.03576
838078326796340,Friesland,0.030651
838078326796340,Gelderland,0.106003
838078326796340,Groningen,0.0447
838078326796340,Limburg,0.052363
838078326796340,North Brabant,0.100894
838078326796340,Noord-Holland,0.205619
838078326796340,Utrecht,0.065134
838078326796340,Zuid-Holland,0.234994
838078326796340,Overijssel,0.056194
838078326796340,Flevoland,0.03576
493119001913873,Drenthe,0.02115
493119001913873,Friesland,0.031725
493119001913873,Gelderland,0.103767
493119001913873,Groningen,0.040317
493119001913873,Limburg,0.070059
493119001913873,North Brabant,0.118308
493119001913873,Noord-Holland,0.165235
493119001913873,Utrecht,0.050892
493119001913873,Zeeland,0.020489
493119001913873,Zuid-Holland,0.284865
493119001913873,Overijssel,0.050892
493119001913873,Flevoland,0.0423
378395330263161,Flevoland,0.027559
